Food,Ingredient,Origin
Shikashika,Ice,Bolivia
Almond_biscuit,Almond,China
Muskazine,Flour,Austria
Muskazine,Spice,Austria
Muskazine,Sugar,Austria
Muskazine,Fruit_preserves,Austria
Muskazine,Egg_(food),Austria
Muskazine,Almond,Austria
Devizes_pie,Offal,England
Devizes_pie,Huff_paste,England
Anzac_biscuit,Butter,Australia
Anzac_biscuit,Flour,Australia
Anzac_biscuit,Desiccation,Australia
Anzac_biscuit,Rolled_oats,Australia
Anzac_biscuit,Sugar,Australia
Anzac_biscuit,Golden_syrup,Australia
Corn_soup,Maize,Canada
Corn_soup,Broth,Canada
Fish_and_chips,Fried_fish,England
Fish_and_chips,Batter_(cooking),England
Lamington,Desiccation,Australia
Lamington,Chocolate,Australia
Lamington,Sugar,Australia
Trifle,Custard,England
Trifle,Cream,England
Trifle,Fruit,England
Trifle,Sponge_cake,England
Maple_sugar,Plant_sap,Canada
Cream_tea,Clotted_cream,England
Cream_tea,Scone,England
Cream_tea,Tea,England
Cream_tea,Fruit_preserves,England
Muffin,Flour,England
Muffin,Yeast,England
Muffin,Leavening_agent,England
Macaroni_and_cheese,Butter,Australia
Macaroni_and_cheese,Flour,Australia
Macaroni_and_cheese,Macaroni,Australia
Macaroni_and_cheese,Milk,Australia
Macaroni_and_cheese,Parmesan,Australia
Macaroni_and_cheese,Cheddar_sauce,Australia
Macaroni_and_cheese,Butter,Canada
Macaroni_and_cheese,Flour,Canada
Macaroni_and_cheese,Macaroni,Canada
Macaroni_and_cheese,Milk,Canada
Macaroni_and_cheese,Parmesan,Canada
Macaroni_and_cheese,Cheddar_sauce,Canada
Sweetheart_cake,Winter_melon,China
Sweetheart_cake,Five-spice_powder,China
Sweetheart_cake,Almond_paste,China
Syrniki,Flour,Belarus
Syrniki,Sugar,Belarus
Syrniki,Raisin,Belarus
Syrniki,Quark_(dairy_product),Belarus
Syrniki,Egg_(food),Belarus
Syrniki,Vanilla_extract,Belarus
Thousand_Island_dressing,Ketchup,Canada
Thousand_Island_dressing,Mayonnaise,Canada
Thousand_Island_dressing,Cream,Canada
Thousand_Island_dressing,Olive_oil,Canada
Thousand_Island_dressing,Vinegar,Canada
Thousand_Island_dressing,Worcestershire_sauce,Canada
Thousand_Island_dressing,Paprika,Canada
Thousand_Island_dressing,Chili_sauce,Canada
