Food,ingr1,ingr2,ingr3,ingr4,ingr5,ingr6,ingr7,ingr8,ingr9,ingr10,ingr11,ingr12,ingr13,ingr14,ingr15,ingr16,ingr17,ingr18,ingr19,ingr20,Origin
Shikashika,Ice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Almond_biscuit,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Muskazine,Flour,Spice,Sugar,Fruit_preserves,Egg_(food),Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Devizes_pie,Offal,Huff_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Anzac_biscuit,Butter,Flour,Desiccation,Rolled_oats,Sugar,Golden_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Corn_soup,Maize,Broth,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Fish_and_chips,Fried_fish,Batter_(cooking),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lamington,Desiccation,Chocolate,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Trifle,Custard,Cream,Fruit,Sponge_cake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maple_sugar,Plant_sap,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Cream_tea,Clotted_cream,Scone,Tea,Fruit_preserves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Muffin,Flour,Yeast,Leavening_agent,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Macaroni_and_cheese,Butter,Flour,Macaroni,Milk,Parmesan,Cheddar_sauce,Butter,Flour,Macaroni,Milk,Parmesan,Cheddar_sauce,?,?,?,?,?,?,?,?,Other_region
Sweetheart_cake,Winter_melon,Five-spice_powder,Almond_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Syrniki,Flour,Sugar,Raisin,Quark_(dairy_product),Egg_(food),Vanilla_extract,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Thousand_Island_dressing,Ketchup,Mayonnaise,Cream,Olive_oil,Vinegar,Worcestershire_sauce,Paprika,Chili_sauce,Egg_(food),Mustard_(condiment),Lemon,Tomato_purée,?,?,?,?,?,?,?,?,Northern_America
Youtiao,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bosna_(sausage),Curry_powder,White_bread,Onion,Tomato,Mustard_(condiment),Bratwurst,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Crumpet,Flour,Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
White_pudding,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
